Option,BatchFile,CaseID,TTR,DomainDensity,AvgJaccard,NumModules,UniqueErrors,ErrorLines,ErrorType
Option 1 (Baseline),op1_100_case_1.json,DU_case_051,0.33640552995391704,0.013824884792626729,1.0,2,4,63,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_052,0.33640552995391704,0.013824884792626729,1.0,2,3,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_053,0.33640552995391704,0.013824884792626729,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_054,0.33640552995391704,0.013824884792626729,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_055,0.33640552995391704,0.013824884792626729,1.0,3,7,62,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_056,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_057,0.33640552995391704,0.013824884792626729,1.0,3,7,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_058,0.33640552995391704,0.013824884792626729,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_059,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_060,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_061,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_062,0.33640552995391704,0.013824884792626729,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_063,0.33640552995391704,0.013824884792626729,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_064,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_065,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_066,0.33640552995391704,0.013824884792626729,1.0,2,3,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_067,0.33640552995391704,0.013824884792626729,1.0,2,3,62,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_068,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_069,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_070,0.33640552995391704,0.013824884792626729,1.0,3,4,141,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_071,0.33640552995391704,0.013824884792626729,1.0,3,7,31165,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_072,0.33640552995391704,0.013824884792626729,1.0,3,8,37,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_073,0.33640552995391704,0.013824884792626729,1.0,3,6,39,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_074,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_075,0.33640552995391704,0.013824884792626729,1.0,3,8,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_076,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_077,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_078,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_079,0.33640552995391704,0.013824884792626729,1.0,2,3,62,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_080,0.33640552995391704,0.013824884792626729,1.0,3,8,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_081,0.33640552995391704,0.013824884792626729,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_082,0.33640552995391704,0.013824884792626729,1.0,2,3,62,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_083,0.33640552995391704,0.013824884792626729,1.0,2,3,62,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_084,0.33640552995391704,0.013824884792626729,1.0,3,7,62,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_085,0.33640552995391704,0.013824884792626729,1.0,2,3,62,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_086,0.33640552995391704,0.013824884792626729,1.0,2,3,62,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_087,0.33640552995391704,0.013824884792626729,1.0,2,3,62,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_088,0.33640552995391704,0.013824884792626729,1.0,2,3,62,invalid format
Option 1 (Baseline),op1_100_case_1.json,DU_case_089,0.33640552995391704,0.013824884792626729,1.0,3,7,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_090,0.33640552995391704,0.013824884792626729,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_1.json,DU_case_091,0.33640552995391704,0.013824884792626729,1.0,3,6,61,invalid enum
Option 1 (Baseline),op1_100_case_1.json,DU_case_092,0.33640552995391704,0.013824884792626729,1.0,2,3,61,wrong type
Option 1 (Baseline),op1_100_case_1.json,DU_case_093,0.33640552995391704,0.013824884792626729,1.0,3,6,61,wrong type
Option 1 (Baseline),op1_100_case_1.json,DU_case_094,0.33640552995391704,0.013824884792626729,1.0,3,6,61,wrong type
Option 1 (Baseline),op1_100_case_1.json,DU_case_095,0.33640552995391704,0.013824884792626729,1.0,3,6,61,wrong type
Option 1 (Baseline),op1_100_case_1.json,DU_case_096,0.33640552995391704,0.013824884792626729,1.0,2,4,63,wrong type
Option 1 (Baseline),op1_100_case_1.json,DU_case_097,0.33640552995391704,0.013824884792626729,1.0,3,6,61,wrong type
Option 1 (Baseline),op1_100_case_1.json,DU_case_098,0.33640552995391704,0.013824884792626729,1.0,2,5,15,wrong type
Option 1 (Baseline),op1_100_case_1.json,DU_case_099,0.33640552995391704,0.013824884792626729,1.0,2,3,62,wrong type
Option 1 (Baseline),op1_100_case_1.json,DU_case_100,0.33640552995391704,0.013824884792626729,1.0,3,7,60,wrong type
Option 1 (Baseline),op1_100_case_2.json,DU_case_001,0.15392254220456802,0.0605759682224429,1.0,1,3,62,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_002,0.15392254220456802,0.0605759682224429,1.0,2,3,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_003,0.15392254220456802,0.0605759682224429,1.0,1,3,62,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_004,0.15392254220456802,0.0605759682224429,1.0,2,4,64,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_005,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_006,0.15392254220456802,0.0605759682224429,1.0,3,8,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_007,0.15392254220456802,0.0605759682224429,1.0,2,3,61,invalid enum
Option 1 (Baseline),op1_100_case_2.json,DU_case_008,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_009,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_010,0.15392254220456802,0.0605759682224429,1.0,3,6,61,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_011,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_012,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_013,0.15392254220456802,0.0605759682224429,1.0,2,4,64,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_014,0.15392254220456802,0.0605759682224429,1.0,2,4,64,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_015,0.15392254220456802,0.0605759682224429,1.0,2,4,64,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_016,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_017,0.15392254220456802,0.0605759682224429,1.0,2,4,64,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_018,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_019,0.15392254220456802,0.0605759682224429,1.0,2,4,64,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_020,0.15392254220456802,0.0605759682224429,1.0,2,2,60,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_021,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_022,0.15392254220456802,0.0605759682224429,1.0,3,7,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_023,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_024,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_025,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_026,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_027,0.15392254220456802,0.0605759682224429,1.0,4,8,63,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_028,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_029,0.15392254220456802,0.0605759682224429,1.0,1,3,62,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_030,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_031,0.15392254220456802,0.0605759682224429,1.0,3,4,90,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_032,0.15392254220456802,0.0605759682224429,1.0,3,6,63,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_033,0.15392254220456802,0.0605759682224429,1.0,3,7,61,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_034,0.15392254220456802,0.0605759682224429,1.0,3,7,62,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_035,0.15392254220456802,0.0605759682224429,1.0,3,6,61,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_036,0.15392254220456802,0.0605759682224429,1.0,3,6,61,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_037,0.15392254220456802,0.0605759682224429,1.0,3,6,61,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_038,0.15392254220456802,0.0605759682224429,1.0,2,4,64,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_039,0.15392254220456802,0.0605759682224429,1.0,2,4,64,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_040,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_041,0.15392254220456802,0.0605759682224429,1.0,3,3,82,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_042,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_043,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_044,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_045,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_046,0.15392254220456802,0.0605759682224429,1.0,3,6,61,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_047,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_048,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_049,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_050,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_051,0.15392254220456802,0.0605759682224429,1.0,2,4,63,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_052,0.15392254220456802,0.0605759682224429,1.0,2,3,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_053,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_054,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_055,0.15392254220456802,0.0605759682224429,1.0,3,7,62,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_056,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_057,0.15392254220456802,0.0605759682224429,1.0,3,7,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_058,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
Option 1 (Baseline),op1_100_case_2.json,DU_case_059,0.15392254220456802,0.0605759682224429,1.0,3,6,61,logical contradiction
Option 1 (Baseline),op1_100_case_2.json,DU_case_060,0.15392254220456802,0.0605759682224429,1.0,3,6,61,out of range
