option,num_cases,error_type_entropy,error_type_norm_entropy,param_coverage_entropy,param_coverage_norm_entropy,unique_params_tested
op1,200,1.6832,0.6512,6.5435,0.9425,99
op2,200,2.1194,0.8199,6.5203,0.9392,101
